elapsed (s);x-axis (g);y-axis (g);z-axis (g)
0.000;-0.053;-0.101;1.007
0.010;-0.051;-0.098;1.023
0.020;-0.048;-0.098;1.028
0.030;-0.047;-0.098;1.030
0.040;-0.045;-0.093;1.023
0.050;-0.044;-0.096;1.022
0.060;-0.042;-0.098;1.022
0.070;-0.043;-0.102;1.015
0.080;-0.042;-0.105;1.012
0.090;-0.046;-0.104;1.009
0.100;-0.046;-0.108;1.005
0.110;-0.044;-0.113;1.000
0.120;-0.045;-0.116;0.996
0.130;-0.046;-0.116;0.998
0.140;-0.045;-0.117;1.000
0.150;-0.046;-0.114;1.006
0.160;-0.044;-0.116;1.010
0.170;-0.042;-0.115;1.005
0.180;-0.038;-0.116;1.001
0.190;-0.036;-0.117;1.006
0.200;-0.036;-0.118;1.004
0.210;-0.039;-0.119;1.001
0.220;-0.044;-0.114;0.997
0.230;-0.045;-0.113;0.997
0.240;-0.045;-0.113;1.001
0.250;-0.045;-0.112;1.005
0.260;-0.042;-0.109;1.009
0.270;-0.040;-0.101;1.016
0.280;-0.041;-0.097;1.022
0.290;-0.040;-0.100;1.021
0.300;-0.040;-0.097;1.016
0.310;-0.037;-0.100;1.012
0.320;-0.036;-0.103;1.013
0.330;-0.037;-0.098;1.014
0.340;-0.036;-0.100;1.013
0.350;-0.034;-0.100;1.011
0.360;-0.037;-0.098;1.014
0.370;-0.037;-0.096;1.021
0.380;-0.038;-0.096;1.019
0.390;-0.037;-0.096;1.015
0.400;-0.039;-0.098;1.010
0.410;-0.038;-0.102;1.010
0.420;-0.037;-0.105;1.007
0.430;-0.038;-0.102;1.009
0.440;-0.043;-0.101;1.012
0.450;-0.042;-0.100;1.009
0.460;-0.040;-0.094;1.009
0.470;-0.036;-0.094;1.013
0.480;-0.037;-0.089;1.020
0.490;-0.035;-0.087;1.020
0.500;-0.031;-0.089;1.025
0.510;-0.026;-0.084;1.028
0.520;-0.023;-0.078;1.036
0.530;-0.023;-0.073;1.037
0.540;-0.027;-0.071;1.036
0.550;-0.028;-0.072;1.030
0.560;-0.022;-0.077;1.028
0.570;-0.021;-0.080;1.024
0.580;-0.021;-0.083;1.018
0.590;-0.019;-0.084;1.013
